Swing/Take,Outs,runners_code,count_code,PlateLocHeight,PlateLocSide,ERV_delta
Swing,2,0,8,2.76984,-0.25147,0.0
Swing,0,0,6,1.03757,-0.43111,-0.0027686129911500563
Swing,0,1,7,1.70266,0.04638,0.00022020246145342676
Swing,0,1,3,2.62411,1.09311,0.05073910875746183
Swing,0,4,5,3.40108,-0.05474,0.02317489903696801
Swing,0,4,2,3.16756,0.16905,0.038940981798124635
Swing,0,4,0,2.23427,-0.57888,0.0
Swing,0,4,0,1.76805,-0.48746,0.8757971938775511
Swing,0,2,5,2.42459,-0.45516,0.044651350837138504
Swing,0,2,0,2.35443,0.29464,-0.024835263578274758
Swing,1,2,7,1.91207,-0.68764,0.02713610991841993
Swing,1,2,3,2.37246,-0.53546,-0.07042655109489052
Swing,2,2,9,2.9328,-0.47628,0.016150850584136095
Swing,2,2,7,1.49311,0.06738,0.02713610991841993
Swing,2,2,3,1.9145,-0.67941,0.0
Swing,2,2,3,1.92373,-0.94126,0.0
Swing,2,2,3,3.31204,1.24923,0.0
Swing,2,2,3,1.98783,-0.90357,0.0
Swing,2,2,3,2.26325,-0.36432,0.0
Swing,2,2,3,3.00895,-0.39722,-0.1011851122353961
Swing,0,0,7,2.53131,0.08963,-0.0015581637795894446
Swing,0,1,6,2.8641,0.22965,0.003829026067189628
Swing,0,1,4,3.02657,0.34262,-0.0038155763851401153
Swing,0,1,8,1.94365,-0.81115,-0.036325517338175566
Swing,1,1,5,2.39324,-0.3364,0.01271417392341024
Swing,1,1,1,1.57627,-0.37907,0.0
Swing,1,1,1,2.75786,-1.10119,0.0
Swing,1,1,1,2.46427,-0.92044,-0.01750538936311801
Swing,2,1,5,2.43436,0.23535,0.01271417392341024
Swing,2,1,2,2.21548,-0.03611,0.02715047512504433
Swing,2,3,5,1.54153,-0.1823,-0.06209769026883756
Swing,0,0,2,1.97462,-0.58044,0.0010997696381578118
Swing,1,0,8,0.04901,-0.48761,-0.007388489543800994
Swing,2,0,5,1.70559,-0.03868,-0.0010997696381578118
Swing,2,0,8,1.8638,-0.01709,-0.01569242840329541
Swing,0,1,2,1.59921,0.89445,-0.003650642863614391
Swing,0,1,0,1.67404,-0.43707,0.0
Swing,0,1,3,2.84318,1.77184,0.0
Swing,0,1,8,1.20232,0.66701,-0.036325517338175566
Swing,1,1,6,1.82004,1.0616,0.003829026067189628
Swing,1,1,4,2.35408,-0.44879,-0.021320965748258126
Swing,2,1,5,2.46287,0.45522,-0.02223304122038299
Swing,0,0,5,1.94409,0.47122,0.013929102360888576
Swing,0,1,2,1.98507,-0.8762,-0.003650642863614391
Swing,1,1,4,1.98736,-0.26474,-0.021320965748258126
Swing,2,1,9,2.20658,0.12786,0.01451122407835187
Swing,2,1,10,2.05629,-0.13092,0.00010674181290294682
